locationID;Latitude;Longitud
AK29;61.6125;-149.8522222
13AK;61.65472222;-149.9
AA30;61.64805556;-149.8708333
HUS;66.03916667;-154.2647222
HLA;65.69777778;-156.3513889
19AK;59.96888889;-141.6616667
2AK8;70.2925;-161.9033333
IGG;59.32416667;-155.9016667
ILI;59.75555556;-154.9177778
2AK9;65.67361111;-162.4641667
4Z9;59.45222222;-151.5225
AK60;57.885;-157.0969444
JNU;58.355;-134.5763889
AFE;56.96138889;-133.9102778
8AK7;70.17277778;-146.8361111
1KC;64.42444444;-156.8433333
KLG;61.53638889;-160.3413889
KAL;64.31888889;-158.7413889
5Z5;63.54166667;-150.9938889
Z90;63.74861111;-150.3294444
KYK;57.56611111;-154.4538889
Z09;60.87333333;-162.5244444
5KS;60.35333333;-151.2627778
5Z7;59.46888889;-151.5733333
52AK;60.50583333;-151.2463889
6AK3;60.72944444;-151.2780556
8AK2;60.7025;-151.2941667
30AK;60.50277778;-151.26
3AK5;60.58888889;-152.1619444
75AK;60.59305556;-151.3280556
3AK4;60.6325;-151.34
ENA;60.57333333;-151.2447222
KTN;55.35416667;-131.7111111
IAN;66.97583333;-160.4366667
KVC;55.11638889;-162.2661111
AKN;58.67638889;-156.6486111
IIK;59.93305556;-164.0305556
KVL;67.73611111;-164.5636111
AKW;55.57916667;-133.0761111
OBU;66.91222222;-156.8972222
ADQ;57.75;-152.4938889
KDK;57.80583333;-152.3738889
5KO;58.87;-157.0105556
9K2;59.43333333;-154.8025
JZZ;59.72666667;-157.2594444
DUY;59.96083333;-162.8811111
2A9;63.03055556;-163.5327778
OTZ;66.88472222;-162.5986111
KKA;64.93944444;-161.1541667
KYU;64.87583333;-157.7305556
LKK;58.98194444;-155.1213889
UBW;70.33083333;-149.5975
9Z7;58.9625;-156.9322222
KWT;60.79027778;-161.4436111
GGV;59.87638889;-163.1686111
Z55;62.29361111;-146.5794444
2A3;57.535;-153.9766667
9Z9;60.41111111;-149.3702778
9Z8;59.12805556;-156.8586111
2AK;61.35916667;-155.4405556
4AK;65.4725;-148.6691667
AK71;70.91083333;-153.2422222
4AK3;61.37777778;-143.3258333
LSR;65.39611111;-167.1630556
AK45;65.45611111;-167.1755556
4AK5;62.99;-144.48
MLY;64.9975;-150.6441667
MBA;58.93194444;-158.9019444
MDM;61.86416667;-162.0261111
MYK;61.33555556;-142.6866667
0AK5;61.35638889;-142.7333333
AK0;61.21861111;-142.8897222
15Z;61.43694444;-142.9036111
AK31;61.41111111;-143.0011111
MCG;62.95277778;-155.6055556
AK40;63.22916667;-154.7602778
AK06;63.645;-148.7980556
INR;63.7325;-148.9105556
24AK;61.61583333;-149.7069444
MYU;60.37138889;-166.2705556
MDO;59.45;-146.3072222
MHM;63.88611111;-152.3019444
51Z;65.14361111;-149.37
0AK3;62.03583333;-150.4938889
99AK;62.59916667;-157.1516667
MOU;62.09527778;-163.6819444
IBN;62.40194444;-142.9955556
76Z;58.9275;-157.0472222
5NK;58.73277778;-157.02
4AK9;58.73416667;-157.0072222
AK07;59.24111111;-151.8772222
KEB;59.35222222;-151.9252778
4AK8;61.53638889;-158.7388889
WNA;60.69027778;-161.9786111
PKA;60.70277778;-161.7783333
OUL;56.0075;-161.1602778
ENN;64.54722222;-149.0738889
KNW;59.45166667;-157.3730556
EWU;60.93916667;-164.6411111
IGT;60.47111111;-164.7008333
AK73;60.72527778;-151.3022222
FSP;63.01861111;-154.3583333
IKO;52.94166667;-168.8488889
NIN;60.02027778;-151.5894444
WTK;67.56111111;-162.9802778
OME;64.51222222;-165.4452778
94Z;64.51305556;-165.3958333
5NN;59.98027778;-154.8391667
D76;66.8175;-161.0222222
5AK3;64.77305556;-147.3338889
95Z;64.75916667;-147.3877778
AK41;64.54388889;-146.8441667
5AK2;64.73055556;-147.3477778
0AK0;64.3925;-146.8622222
AA76;64.76944444;-147.3294444
ORT;62.96138889;-141.9291667
33AK;62.51722222;-150.9452778
AK20;70.42055556;-150.8866667
AQT;70.21;-151.0055556
NUL;64.72944444;-158.0741667
16A;60.90611111;-162.4405556
ZNC;60.98055556;-159.9936111
6R7;57.21805556;-153.2697222
Z17;63.14611111;-156.53
4K5;57.92277778;-152.5005556
AK46;61.62888889;-149.0433333
3AK6;61.59305556;-149.3022222
AK1;61.53027778;-149.0177778
34AK;61.625;-149.2886111
5AK6;61.55694444;-149.2683333
AK53;61.58222222;-148.9969444
AK88;61.60472222;-149.0402778
14AK;61.6025;-149.2480556
39AK;61.58611111;-149.2361111
5AK9;61.54861111;-149.1902778
AK93;61.65527778;-149.2736111
97AK;61.66388889;-149.2536111
AK66;61.46305556;-148.8041667
82AK;61.61666667;-149.1913889
AK92;61.63805556;-149.0288889
3AK2;61.6275;-149.2866667
PAQ;61.595;-149.0886111
AK63;61.58861111;-149.1425
AK50;61.55444444;-149.1444444
7AK9;61.64694444;-149.0486111
05AK;61.66861111;-149.1875
4AK6;61.64083333;-149.2888889
PXK;63.02444444;-145.5005556
4K0;59.78972222;-154.1238889
PEV;55.90666667;-159.1608333
PSG;56.80166667;-132.9452778
PNP;57.58027778;-157.5719444
UGB;57.42527778;-157.74
0AK;61.93444444;-162.8994444
PTU;59.01138889;-161.8197222
6AK1;58.91166667;-161.7138889
PHO;68.34888889;-166.7994444
PIZ;69.73222222;-163.0111111
64AK;61.44;-150.0261111
0AK9;61.3325;-150.0591667
2AK0;61.25583333;-149.9747222
AK36;61.43611111;-150.1222222
50AK;61.38055556;-150.1161111
6AK2;61.25138889;-149.9822222
AK14;61.35333333;-150.0825
AK11;70.40166667;-148.6822222
PCK;67.23777778;-150.2861111
TPO;60.20444444;-154.3188889
AK51;60.19861111;-154.3247222
KPC;65.25361111;-166.8586111
PGM;59.34833333;-151.8316667
PTH;56.95916667;-158.6333333
ORI;57.88527778;-152.8461111
A14;58.90638889;-157.7141667
PPC;66.81416667;-150.6436111
01A;62.94361111;-152.27
20K;65.35388889;-149.7622222
5QC;65.40583333;-164.6558333
AQH;59.755;-161.8452778
6AK;62.08416667;-152.7175
RMP;65.50777778;-150.1408333
RDV;61.78805556;-157.3502778
DGG;68.03222222;-162.8991667
RBY;64.72722222;-155.47
9AK2;61.89888889;-161.4397222
RSH;61.775;-161.3194444
Z81;64.90916667;-165.0125
SDP;55.31361111;-160.5213889
SVA;63.68638889;-170.4927778
SCM;61.84444444;-165.5738889
8AK3;66.76611111;-160.1527778
WLK;66.6;-159.9858333
SOV;59.4425;-151.7041667
SWD;60.12694444;-149.4188889
SHX;62.69222222;-159.5691667
2C7;64.37111111;-161.2238889
SMU;61.81194444;-147.5069444
SXP;62.52055556;-164.8477778
SYA;52.71222222;-174.1136111
SHH;66.24944444;-166.0894444
SHG;66.88805556;-157.1625
SIT;57.04722222;-135.3616667
SGY;59.46;-135.3155556
1AK6;61.85277778;-151.4083333
3AK9;61.94194444;-151.0361111
SKW;61.96527778;-151.1913889
1AK8;61.67694444;-151.3866667
DDT;62.72472222;-143.9205556
SLQ;61.70055556;-157.1658333
7AK2;58.13444444;-133.7294444
70AK;60.51777778;-150.9597222
7AK5;60.50361111;-150.9355556
7AK6;60.47777778;-150.9286111
7AK3;60.47638889;-151.1661111
1AK4;60.52416667;-150.7522222
AK55;60.48916667;-150.8016667
SXQ;60.475;-151.0383333
AK26;64.56055556;-164.4422222
WSN;58.70222222;-157.0025
SVW;61.0975;-155.5741667
PBV;56.57722222;-169.6636111
KSM;62.06083333;-163.3019444
SMK;63.49;-162.1102778
SNP;57.16722222;-170.2205556
WBB;63.51611111;-162.2780556
AK01;60.52888889;-150.625
AK05;60.54111111;-150.5991667
88AK;60.54027778;-150.8680556
53AK;60.53444444;-150.9391667
AK84;60.52944444;-150.8308333
AK39;60.69722222;-150.18
40AK;60.55527778;-150.8425
SVS;66.01694444;-149.0544444
SRV;61.78972222;-156.5886111
UMM;63.33138889;-149.1272222
8AK6;61.37194444;-150.2622222
28AK;61.80888889;-147.8594444
JVM;61.73138889;-148.9277778
AK59;61.79111111;-148.3516667
48AK;61.79305556;-148.4925
TCT;62.99277778;-156.0683333
TLJ;62.89444444;-155.9766667
2AK7;62.3075;-149.7522222
51AK;62.24222222;-150.0658333
AK19;62.17388889;-150.0641667
21AK;62.07166667;-150.0688889
49AK;62.02444444;-149.9772222
AA00;62.51027778;-149.9266667
3AK3;62.56388889;-150.2205556
AK61;62.69972222;-148.9075
TKA;62.32055556;-150.0936111
AK44;62.31888889;-150.1161111
TSG;63.37444444;-143.3355556
7AK0;64.6475;-151.81
TAL;65.17444444;-152.1094444
7KA;60.8725;-146.6911111
8KA;62.29333333;-153.3619444
AK49;65.67916667;-164.7988889
AK64;60.86777778;-157.3919444
Z14;62.06472222;-146.4605556
2K5;63.39388889;-153.2688889
TER;65.24027778;-166.3394444
3T4;63.125;-142.5183333
K55;61.17722222;-145.6883333
TNC;65.56305556;-167.9216667
TOG;59.05361111;-160.3969444
9AK0;62.51222222;-143.2355556
8AK9;63.3;-143.0233333
6K8;63.32944444;-142.9536111
OOK;60.54138889;-165.0872222
9AK;64.02555556;-148.5222222
5AK0;60.81555556;-151.7988889
81AK;62.56777778;-150.2361111
TLT;61.09694444;-160.9694444
A61;60.33527778;-162.6669444
4KA;60.57555556;-165.2716667
A63;59.07444444;-160.275
9AK3;61.01388889;-151.4488889
TYE;61.07666667;-151.1380556
9A8;57.52333333;-157.3961111
UMT;69.37111111;-152.135
UNK;63.88833333;-160.7988889
DUT;53.9;-166.5436111
UTO;65.99277778;-153.7041667
VDZ;61.13388889;-146.2483333
VEE;67.00861111;-146.3663889
0AK6;61.80333333;-147.9441667
AWI;70.63805556;-159.9947222
AK03;70.61333333;-159.8602778
IWK;65.6225;-168.095
0AK1;61.61694444;-149.3216667
56AK;61.575;-149.6063889
AK85;61.48222222;-149.7638889
71AK;61.52777778;-149.4963889
3AK8;61.6625;-149.3919444
6AK9;61.63333333;-149.6825
58AK;61.5525;-149.3397222
AK58;61.54;-149.5488889
36AK;61.34333333;-150.0666667
AK83;61.62722222;-149.6094444
16AK;61.59916667;-149.3469444
AK65;61.59805556;-149.3505556
7AK8;61.62111111;-149.615
10AK;61.59194444;-149.6777778
79AK;61.48194444;-149.7438889
7AK4;61.6725;-149.5038889
AK79;61.59361111;-149.5663889
06AK;61.6275;-149.5752778
43AK;61.60083333;-149.5791667
55AK;61.49583333;-149.6994444
9AK6;61.62416667;-149.6483333
89AK;61.55944444;-149.7055556
65AK;61.56055556;-149.3686111
38AK;61.5625;-149.6677778
5AK8;61.63138889;-149.4325
8AK8;61.63;-149.6825
59AK;61.63166667;-149.3405556
AK25;61.6175;-149.6147222
6AK7;61.57472222;-149.635
41AK;61.50083333;-149.6397222
AK47;61.58555556;-149.5633333
87AK;61.65166667;-149.2883333
67AK;61.53472222;-149.67
4AK2;61.55805556;-149.4241667
AK54;61.59333333;-149.3261111
AK16;61.52333333;-149.715
77AK;61.50277778;-149.5955556
5AK5;61.65722222;-149.4616667
6AK8;61.61805556;-149.6691667
AK27;61.6425;-149.6244444
IYS;61.57194444;-149.5394444
44AK;61.53333333;-150.1025
42AK;61.56888889;-149.485
9AK8;61.62472222;-149.6822222
23AK;61.59416667;-149.3108333
WMO;64.68916667;-163.4127778
IEM;60.77722222;-148.7216667
78AK;61.73305556;-150.5261111
3AK1;61.71888889;-150.1958333
AK10;61.71722222;-150.1094444
25AK;61.71222222;-150.0633333
AK72;61.70472222;-150.6011111
3AK7;61.76555556;-150.3388889
AK69;61.72944444;-150.0977778
AK68;61.72027778;-150.0544444
02AK;61.87694444;-150.0977778
AK90;61.74472222;-150.1155556
AK67;61.73861111;-150.0727778
AK08;61.79;-150.1061111
UUO;61.75416667;-150.0516667
0AK2;61.72555556;-150.6786111
WSM;67.40444444;-150.1227778
WRG;56.48444444;-132.3697222
CYT;60.08194444;-142.4936111
A57;59.19916667;-138.4511111
A70;59.40472222;-139.2330556
AK76;59.12611111;-138.4066667
A67;59.41444444;-139.025
A68;59.55166667;-139.5091667
A69;59.24805556;-138.5036111
YAK;59.50333333;-139.6602778
A77;63.00194444;-156.3672222
L20;65.31138889;-143.1355556
0J0;31.60027778;-85.23805556
2A8;34.20916667;-87.15805556
AL03;35.85388889;-87.72388889
EET;33.17777778;-86.78333333
8A0;34.22916667;-86.25583333
ALX;32.91472222;-85.96305556
AIV;33.10638889;-88.19777778
79J;31.30888889;-86.39388889
ANB;33.58805556;-85.85805556
1M3;34.97777778;-86.88472222
26A;33.28388889;-85.80888889
AL60;33.83861111;-86.21138889
28AL;33.8625;-86.12055556
0R1;31.01611111;-87.44666667
AUO;32.615;-85.43388889
1R8;30.87027778;-87.81944444
5R7;30.45472222;-88.21055556
EKY;33.3125;-86.92638889
BHM;33.56388889;-86.75222222
AL40;33.54305556;-86.98583333
AL29;34.12916667;-86.63333333
3AL6;33.49;-86.4125
12J;31.05083333;-87.06611111
60A;31.73277778;-85.80361111
09A;32.11944444;-88.1275
61A;31.97972222;-87.33916667
AL32;34.3225;-85.64361111
C22;34.16;-85.635
PYP;34.09;-85.61
AL27;34.10555556;-85.56583333
0A8;32.93694444;-87.09055556
5AL1;31.68083333;-86.68194444
6AL6;31.38861111;-88.0925
5R1;31.45194444;-88.19444444
AL01;31.55861111;-87.53333333
02A;32.85055556;-86.61138889
01AL;32.94583333;-86.51388889
11A;31.88333333;-85.48527778
1AL2;33.24861111;-86.5975
AL02;33.15;-87.44166667
9A4;34.65944444;-87.34888889
AL51;32.41611111;-85.29916667
15A;30.91333333;-87.98055556
3A1;34.26861111;-86.85805556
4R9;30.26055556;-88.1275
DCU;34.65416667;-86.94527778
DYA;32.46388889;-87.95416667
5AL4;31.12166667;-85.36527778
DHN;31.32138889;-85.44972222
3M2;34.14416667;-87.32777778
14J;31.41;-86.09027778
7AL9;30.46694444;-87.54166667
AL08;30.42444444;-87.53527778
AL55;30.44194444;-87.46388889
EDN;31.29972222;-85.89972222
EUF;31.95138889;-85.12888889
3A7;32.82083333;-87.8625
GZH;31.41583333;-87.04416667
4R4;30.46055556;-87.87694444
AL78;30.52694444;-87.85416667
AL00;33.74444444;-87.78638889
M95;33.70916667;-87.81555556
4AL7;34.74472222;-85.68972222
0AL5;31.03222222;-87.25277778
0J4;31.0425;-86.31166667
0AL9;34.85;-87.6325
NBJ;30.38916667;-87.63527778
02AL;30.37138889;-87.76444444
5R4;30.42777778;-87.70111111
0AL1;30.44388889;-87.65694444
AL15;30.40305556;-87.72416667
67A;31.9725;-86.59166667
2AL5;34.39277778;-85.665
4A9;34.47361111;-85.72138889
OZR;31.27583333;-85.71333333
GAD;33.97277778;-86.08916667
AL18;33.67611111;-86.8675
AL43;32.90833333;-88.33333333
33J;31.0525;-85.86888889
7A0;32.68138889;-87.66222222
PRN;31.84555556;-86.61083333
3A0;31.68944444;-87.76138889
JKA;30.28972222;-87.67166667
8A1;34.39944444;-86.27027778
AL10;34.65111111;-86.41694444
1M4;34.28027778;-87.60055556
HAB;34.11694444;-87.99833333
2AL7;34.06277778;-86.72305556
AL92;33.30722222;-86.40361111
3AL1;31.05055556;-85.68527778
AL62;31.08305556;-85.68361111
5M0;34.40833333;-86.93305556
00AL;34.86472222;-86.77027778
M38;34.91611111;-86.64722222
0J6;31.36416667;-85.31166667
6AL3;34.58194444;-85.75555556
AL93;34.88555556;-86.71
HSV;34.63722222;-86.775
MDQ;34.86138889;-86.5575
4AL8;34.49055556;-86.67333333
3M5;34.74722222;-86.46138889
AL05;32.22027778;-85.46805556
AL37;31.555;-85.97722222
4R3;31.47055556;-87.89583333
3AL5;33.83527778;-85.76388889
JFX;33.90194444;-87.31416667
5AL7;31.25;-86.16666667
7A3;32.81194444;-85.22944444
4AL9;31.97472222;-86.29388889
AL88;30.42666667;-87.47083333
70A;32.26722222;-87.71861111
57AL;30.65333333;-87.72388889
1AL5;30.63638889;-87.74777778
AL35;30.61972222;-87.70444444
AL97;30.64472222;-87.66944444
04A;31.73611111;-86.26222222
2AL1;30.42416667;-87.77777778
AL76;32.84861111;-86.87
A08;32.51055556;-87.38472222
AL09;34.53333333;-85.59027778
BFM;30.62666667;-88.06805556
MOB;30.69138889;-88.24277778
26AL;30.62416667;-88.27861111
62AL;30.68361111;-88.37194444
MVC;31.45805556;-87.35111111
5AL3;33.15277778;-86.85138889
AL12;32.35833333;-86.125
MXF;32.37916667;-86.3625
MGM;32.30055556;-86.39388889
1AL8;33.61111111;-86.47444444
AL34;34.44694444;-87.38611111
L44;32.96805556;-87.64055556
5AL5;34.69111111;-87.65277778
MSL;34.74527778;-87.61027778
20A;33.97111111;-86.38027778
AL89;32.71861111;-85.36694444
AL71;32.80361111;-85.98055556
3AL8;34.61916667;-86.46694444
71J;31.43194444;-85.62055556
PLR;33.55888889;-86.24916667
AL33;31.02527778;-87.58583333
2AL8;32.42111111;-85.24805556
AL79;32.26972222;-86.09888889
71A;31.96861111;-87.59555556
AL16;33.72666667;-86.72361111
1A9;32.43861111;-86.51277778
HUA;34.67861111;-86.68472222
3M8;33.38666667;-88.00666667
7A5;33.12916667;-85.36666667
AL25;32.2425;-85.60111111
1AL4;30.54472222;-87.55944444
AL84;30.55861111;-87.60416667
AL81;30.55027778;-87.58333333
M22;34.445;-87.71166667
5AL8;31.105;-85.99305556
1A4;31.10277778;-86.06222222
4A6;34.68861111;-86.00583333
SEM;32.34388889;-86.98777778
S63;32.36666667;-87.10416667
AL74;30.76444444;-88.30583333
AL41;31.11611111;-85.62555556
AL56;32.50027778;-85.08333333
2R5;30.50194444;-88.275
7A6;34.88638889;-85.80333333
4AL6;30.46694444;-87.68333333
NFD;30.50777778;-87.64555556
AL69;30.50861111;-87.49166667
SCD;33.17194444;-86.30555556
ASN;33.56944444;-86.05111111
41A;32.51472222;-85.87611111
2AL6;30.49944444;-88.19805556
3AL7;32.285;-87.52
AL77;31.74055556;-86.00694444
TOI;31.86055556;-86.01222222
TCL;33.22055556;-87.61138889
27AL;32.45361111;-85.55805556
06A;32.46055556;-85.68
AL73;32.49194444;-85.77555556
07A;32.16694444;-85.80972222
M55;33.84666667;-88.11555556
25A;33.74;-85.82583333
2AL3;32.45527778;-86.11916667
08A;32.52944444;-86.32833333
AL94;30.81277778;-88.37722222
AL17;33.23388889;-86.51305556
AL54;33.86333333;-87.84527778
M73;34.41222222;-91.46638889
41AR;34.12333333;-93.34972222
M89;34.09972222;-93.06611111
CVK;36.265;-91.56277778
M60;35.27194444;-91.26972222
M74;35.29944444;-91.55777778
BVX;35.72611111;-91.6475
1AR0;35.39861111;-91.13333333
AR23;35.13333333;-93.47527778
SUZ;34.59027778;-92.47944444
VBT;36.34583333;-94.21944444
4M1;36.38138889;-93.62444444
AR13;34.98611111;-92.63361111
BYH;35.96444444;-89.94388889
HKA;35.94027778;-89.83083333
4M2;35.14944444;-93.86222222
15AR;34.82583333;-90.54333333
M36;34.88027778;-91.17638889
12XS;34.95472222;-91.83722222
3AR3;35.05944444;-92.08194444
73AR;35.04861111;-92.05361111
3AR4;35.00555556;-92.0775
9AR9;34.8875;-91.98944444
AR28;34.93916667;-92.02472222
AR54;34.91861111;-91.915
4AR2;34.91;-92.00666667
4AR1;35.04138889;-92.10111111
4AR6;34.37916667;-93.63777778
37T;36.16444444;-92.14444444
CDH;33.62277778;-92.76333333
RBM;34.85;-92.30027778
4M3;34.80833333;-91.71222222
6AR2;35.02027778;-93.065
6AR1;36.27777778;-94.19666667
2AR5;36.38305556;-94.29388889
AR03;35.11861111;-93.20166667
28AR;35.83333333;-91.43333333
AR05;35.21583333;-93.305
4M8;34.64805556;-91.39444444
H35;35.47055556;-93.42722222
CCA;35.59777778;-92.45166667
2A2;35.65083333;-92.40388889
7AR3;35.15111111;-90.81555556
12A;35.1775;-92.335
AR06;35.2325;-92.34333333
CWS;35.08083333;-92.425
AR88;35.05472222;-92.35416667
4M9;36.40416667;-90.64805556
61AR;36.30833333;-92.53083333
1AR1;34.52722222;-91.87277778
0AR2;35.26666667;-90.35
CRT;33.17833333;-91.88027778
32A;35.08694444;-93.4275
DEQ;34.04694444;-94.39944444
5M1;34.26222222;-91.3075
5M5;36.34361111;-94.44472222
0AR3;35.89888889;-93.26111111
4M5;33.48805556;-91.4425
1AR3;34.97305556;-91.52611111
1AR2;34.98666667;-91.55027778
AR89;35.4;-93.06611111
0M0;33.88472222;-91.53444444
65AR;35.22638889;-90.46527778
63AR;35.25138889;-90.45972222
F43;33.19111111;-92.66333333
ELD;33.22111111;-92.81333333
17AR;34.55305556;-92.09138889
7AR1;33.05;-91.34166667
18AR;36.34416667;-93.83166667
7AR0;36.43138889;-93.69944444
FYV;36.005;-94.17
AR35;36.08666667;-94.10527778
67AR;36.09777778;-94.3075
XNA;36.28194444;-94.30694444
FLP;36.29083333;-92.59027778
6AR9;36.41527778;-92.69444444
45AR;36.36722222;-92.64027778
5M4;33.84583333;-92.36555556
FCY;34.94194444;-90.775
14AR;35.05277778;-90.675
AZU;35.275;-94.22527778
FSM;35.33666667;-94.3675
40AR;36.39277778;-93.9125
1AR5;36.29944444;-94.58472222
70AR;35.99444444;-89.99722222
AR09;36.41388889;-94.43888889
52AR;35.28;-92.24166667
1AR6;35.50333333;-92.19666667
30AR;35.54444444;-92.05611111
33AR;35.60222222;-92.1425
7AR2;35.55722222;-92.13222222
36AR;35.20638889;-91.31888889
3AR5;35.11777778;-91.61194444
5M8;33.92388889;-93.16805556
20AR;35.30777778;-92.32027778
37AR;33.1825;-91.62833333
